1,1
3,5
5,9
7,13
9,17
11,21
13,25
15,29
17,33
19,37
21,41
23,45
25,49
27,53
29,57
31,61
33,65
35,69
37,73
39,77
41,81
43,85
45,89
47,93
49,97
51,101
53,105
55,109
57,113
59,117
61,121
63,125
65,129
67,133
69,137
71,141
73,145
75,149
77,153
79,157
81,161
83,165
85,169
87,173
89,177
91,181
93,185
95,189
97,193
99,197
101,201
103,205
105,209
107,213
109,217
111,221
113,225
115,229
117,233
119,237
121,241
123,245
125,249
127,253
129,257
131,261
133,265
135,269
137,273
139,277
141,281
143,285
145,289
147,293
149,297
151,301
153,305
155,309
157,313
159,317
161,321
163,325
165,329
167,333
169,337
171,341
173,345
175,349
177,353
179,357
181,361
183,365
185,369
187,373
189,377
191,381
193,385
195,389
197,393
199,397
201,401
203,405
205,409
207,413
209,417
211,421
213,425
215,429
217,433
219,437
221,441
223,445
225,449
227,453
229,457
231,461
233,465
235,469
237,473
239,477
241,481
243,485
245,489
247,493
249,497
251,501
253,505
255,509
257,513
259,517
261,521
263,525
265,529
267,533
269,537
271,541
273,545
275,549
277,553
279,557
281,561
283,565
285,569
287,573
289,577
291,581
293,585
295,589
297,593
299,597
301,601
303,605
305,609
307,613
309,617
311,621
313,625
315,629
317,633
319,637
321,641
323,645
325,649
327,653
329,657
331,661
333,665
335,669
337,673
339,677
341,681
343,685
345,689
347,693
349,697
351,701
353,705
355,709
357,713
359,717
361,721
363,725
365,729
367,733
369,737
371,741
373,745
375,749
377,753
379,757
381,761
383,765
385,769
387,773
389,777
391,781
393,785
395,789
397,793
399,797
401,801
403,805
405,809
407,813
409,817
411,821
413,825
415,829
417,833
419,837
421,841
423,845
425,849
427,853
429,857
431,861
433,865
435,869
437,873
439,877
441,881
443,885
445,889
447,893
449,897
451,901
453,905
455,909
457,913
459,917
461,921
463,925
465,929
467,933
469,937
471,941
473,945
475,949
477,953
479,957
481,961
483,965
485,969
487,973
489,977
491,981
493,985
495,989
497,993
499,997
501,1001
503,1005
505,1009
507,1013
509,1017
511,1021
513,1025
515,1029
517,1033
519,1037
521,1041
523,1045
525,1049
527,1053
529,1057
531,1061
533,1065
535,1069
537,1073
539,1077
541,1081
543,1085
545,1089
547,1093
549,1097
551,1101
553,1105
555,1109
557,1113
559,1117
561,1121
563,1125
565,1129
567,1133
569,1137
571,1141
573,1145
575,1149
577,1153
579,1157
581,1161
583,1165
585,1169
587,1173
589,1177
591,1181
593,1185
595,1189
597,1193
599,1197
601,1201
603,1205
605,1209
607,1213
609,1217
611,1221
613,1225
615,1229
617,1233
619,1237
621,1241
623,1245
625,1249
627,1253
629,1257
631,1261
633,1265
635,1269
637,1273
639,1277
641,1281
643,1285
645,1289
647,1293
649,1297
651,1301
653,1305
655,1309
657,1313
659,1317
661,1321
663,1325
665,1329
667,1333
669,1337
671,1341
673,1345
675,1349
677,1353
679,1357
681,1361
683,1365
685,1369
687,1373
689,1377
691,1381
693,1385
695,1389
697,1393
699,1397
701,1401
703,1405
705,1409
707,1413
709,1417
711,1421
713,1425
715,1429
717,1433
719,1437
721,1441
723,1445
